benchmark,benchmark_short,base_model,base_score,best_step,best_score,final_step,final_score,final_delta,best_delta
AoTBench_QA_adaptive,AoT-QA,Qwen3-VL-4B-Instruct,52.67,583,54.94,583,54.94,2.27,2.27
AoTBench_ReverseFilm_adaptive,ReverseFilm,Qwen3-VL-4B-Instruct,50.0,0,50.0,583,50.0,0.0,0.0
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,Qwen3-VL-4B-Instruct,53.51,0,53.51,583,51.61,-1.9,0.0
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,Qwen3-VL-4B-Instruct,60.44,583,61.8,583,61.8,1.36,1.36
AoTBench_UCF101_adaptive,UCF101,Qwen3-VL-4B-Instruct,51.6,0,51.6,583,51.6,0.0,0.0
ETBench_adaptive,ETBench,Qwen3-VL-4B-Instruct,34.55,350,41.66,583,41.54,6.99,7.11
MVBench_MP4_adaptive,MVBench,Qwen3-VL-4B-Instruct,62.55,300,64.3,583,63.95,1.4,1.75
MLVU_MCQ_adaptive,MLVU,Qwen3-VL-4B-Instruct,54.3222,583,55.7135,583,55.7135,1.3913,1.3913
Video-MME_adaptive,Video-MME,Qwen3-VL-4B-Instruct,65.0,50,65.4,583,65.3,0.3,0.4
TempCompass_MCQ_adaptive,TempCompass,Qwen3-VL-4B-Instruct,75.2627,583,75.4304,583,75.4304,0.1677,0.1677
TimeLensBench_ActivityNet_adaptive,TL-ActivityNet,Qwen3-VL-4B-Instruct,41.99,300,45.9,583,45.76,3.77,3.91
TimeLensBench_Charades_adaptive,TL-Charades,Qwen3-VL-4B-Instruct,43.64,250,47.99,583,47.99,4.35,4.35
TimeLensBench_QVHighlights_adaptive,TL-QVHighlights,Qwen3-VL-4B-Instruct,54.31,250,58.91,583,58.35,4.04,4.6
Vinoground_adaptive,Vinoground-Text,Qwen3-VL-4B-Instruct,37.0,200,45.6,583,45.0,8.0,8.6
Video_Holmes_adaptive,Video-Holmes,Qwen3-VL-4B-Instruct,39.9565,583,40.2831,583,40.2831,0.3266,0.3266
LongVideoBench_adaptive,LongVideoBench,Qwen3-VL-4B-Instruct,60.7,583,61.6,583,61.6,0.9,0.9
Video-TT_adaptive,Video-TT,Qwen3-VL-4B-Instruct,36.9,583,38.8,583,38.8,1.9,1.9
